query_id,student_query,detected_language,AI_response,category,model_confidence,confidence_score,fall_back,retrieved_docs,response_time,timestamp
Q001,Sample query about scholarship in Hindi,Hindi,Scholarship forms are available on the college website.,Scholarship,Low,0.62,No,Scholarship_Doc.pdf,1.21s,2025-10-01 19:18:56
Q002,Sample query about fallback in Marathi,Marathi,Connecting you to a human staff member...,Fallback,Medium,0.75,Yes,None,2.17s,2025-10-01 19:18:56
Q003,Sample query about timetable in English,English,The updated timetable is available on the portal.,Timetable,Low,0.56,No,Timetable_Doc.pdf,1.33s,2025-10-01 19:18:56
Q004,Sample query about general query in Telugu,Telugu,Please check the college notice board for details.,General Query,High,0.88,No,General Query_Doc.pdf,1.73s,2025-10-01 19:18:56
Q005,Sample query about general query in Hindi,Hindi,Please check the college notice board for details.,General Query,High,0.89,No,General Query_Doc.pdf,1.7s,2025-10-01 19:18:56
Q006,Sample query about fallback in Tamil,Tamil,Connecting you to a human staff member...,Fallback,Low,0.43,Yes,None,2.24s,2025-10-01 19:18:56
Q007,Sample query about timetable in Tamil,Tamil,The updated timetable is available on the portal.,Timetable,Medium,0.85,No,Timetable_Doc.pdf,1.87s,2025-10-01 19:18:56
Q008,Sample query about fallback in Marathi,Marathi,Connecting you to a human staff member...,Fallback,Medium,0.78,Yes,None,1.21s,2025-10-01 19:18:56
Q009,Sample query about scholarship in Hindi,Hindi,Scholarship forms are available on the college website.,Scholarship,Medium,0.66,No,Scholarship_Doc.pdf,1.48s,2025-10-01 19:18:56
Q010,Sample query about scholarship in English,English,Scholarship forms are available on the college website.,Scholarship,Medium,0.76,No,Scholarship_Doc.pdf,1.83s,2025-10-01 19:18:56
Q011,Sample query about timetable in Telugu,Telugu,The updated timetable is available on the portal.,Timetable,Low,0.55,No,Timetable_Doc.pdf,1.52s,2025-10-01 19:18:56
Q012,Sample query about fallback in Tamil,Tamil,Connecting you to a human staff member...,Fallback,Low,0.54,Yes,None,1.04s,2025-10-01 19:18:56
Q013,Sample query about scholarship in English,English,Scholarship forms are available on the college website.,Scholarship,Medium,0.79,No,Scholarship_Doc.pdf,1.17s,2025-10-01 19:18:56
Q014,Sample query about fallback in Tamil,Tamil,Connecting you to a human staff member...,Fallback,High,0.93,Yes,None,1.71s,2025-10-01 19:18:56
Q015,Sample query about scholarship in Marathi,Marathi,Scholarship forms are available on the college website.,Scholarship,High,0.89,No,Scholarship_Doc.pdf,1.27s,2025-10-01 19:18:56
